Longitude,Latitude,name,type,area,Altitude,CO,NO2,NOx,O3,PM10,PM2.5,SO2
-0.460861,51.49633,London_Hillingdon,background,urban,34,NA,80.51625,151.66125,23.9484,NA,NA,NA
-0.449548,50.916932,Storrington_Roadside,traffic,urban,41,NA,NA,NA,NA,4,3.1,NA
-0.441614,51.48879,London_Harlington,background,suburban,35,NA,15.10875,24.54375,51.222967,3.72526,NA,NA
-0.345606,51.425286,London_Teddington_Bushy_Park,background,urban,11,NA,NA,NA,NA,NA,NA,NA
-0.341222,53.74878,Hull_Freetown,background,urban,4,NA,28.305,49.725,45.70153,NA,NA,8.51488
-0.339647,51.42099,London_Teddington,background,urban,29,NA,7.07625,7.07625,66.45681,NA,NA,NA
-0.305749,53.758971,Hull_Holderness_Road,background,rural,4,NA,48.96,114.94125,NA,15.1,NA,NA
-0.300306,52.132417,Sandy_Roadside,traffic,urban,22,NA,34.61625,78.22125,NA,16.7,6.6,NA
-0.298777,51.617333,London_Harrow_Stanmore,background,urban,79,NA,NA,NA,NA,NA,NA,NA
-0.265617,51.51895,Ealing_Horn_Lane,traffic,urban,30,NA,NA,NA,NA,12.6,NA,NA
-0.213492,51.52105,London_N._Kensington,background,urban,5,0.360902,14.535,18.93375,54.88175,8.8,2,0.53218
-0.175269,51.54421,Camden_Kerbside,traffic,urban,50,NA,53.1675,106.52625,NA,8.6,4.5,NA
-0.167734,51.165865,Horley,background,urban,40,NA,24.67125,29.835,NA,NA,NA,NA
-0.154611,51.52253,London_Marylebone_Road,traffic,urban,35,0.034926,104.23125,373.89375,14.36904,17.2,11.4,10.90969
-0.147572,50.840836,Brighton_Preston_Park,background,urban,10,NA,10.90125,11.475,67.8538,NA,NA,NA
-0.131931,51.49467,London_Westminster,background,urban,5,NA,43.41375,70.7625,NA,NA,NA,NA
-0.125889,51.52229,London_Bloomsbury,background,urban,20,NA,35.38125,39.015,41.9097,8.9,7,1.59654
-0.125254,51.584128,London_Haringey_Priory_Park_South,background,urban,37,NA,23.14125,26.20125,54.88175,NA,NA,NA
-0.068218,51.5993,Haringey_Roadside,traffic,urban,10,NA,49.3425,103.275,NA,NA,9.2,NA
-0.05955,51.480499,Southwark_A2_Old_Kent_Road,traffic,urban,10,NA,NA,NA,NA,NA,NA,NA
-0.042155,51.52253,Tower_Hamlets_Roadside,traffic,urban,20,NA,22.37625,28.305,NA,NA,NA,NA
0.070766,51.45258,London_Eltham,background,suburban,60,NA,0,4.59,62.46541,NA,NA,NA
0.124456,52.20237,Cambridge_Roadside,traffic,urban,19,NA,35.19,101.55375,NA,NA,NA,NA
0.18125,50.7937,Lullington_Heath,background,rural,125,NA,3.25125,4.39875,65.05982,NA,NA,0.26609
0.184806,51.46603,London_Bexley,background,suburban,13,NA,NA,NA,NA,NA,6.2,NA
0.271611,50.805778,Eastbourne,background,urban,7,NA,5.355,6.69375,NA,7.7,NA,NA
0.290917,52.2985,Wicken_Fen,background,rural,5,NA,17.02125,19.89,71.24649,NA,NA,3.72526
0.317969,51.47707,Thurrock,background,urban,8,NA,NA,NA,NA,4.1,NA,NA
0.439548,51.518167,Stanford-le-Hope_Roadside,traffic,urban,18,NA,14.9175,18.36,NA,5.1,5.2,NA
0.54797,51.374264,Chatham_Roadside,traffic,urban,80,NA,26.01,52.21125,NA,NA,8.9,NA
0.634889,51.45617,Rochester_Stoke,background,rural,14,NA,4.2075,5.7375,76.03617,4.4,1.7,7.18443
0.678408,51.544206,Southend-on-Sea,background,urban,37,NA,10.71,13.3875,65.05982,NA,2.6,NA
1.049031,51.77798,St_Osyth,background,rural,8,NA,6.5025,7.45875,73.8409,NA,NA,NA
1.098061,51.27399,Canterbury,background,urban,35,NA,0,1.9125,NA,NA,NA,NA
1.122017,52.95049,Weybourne,background,rural,16,NA,NA,NA,66.85595,NA,NA,NA
1.301976,52.614193,Norwich_Lakenfields,background,urban,36,NA,NA,NA,55.48046,NA,NA,NA
1.463497,52.2944,Sibton,background,rural,46,NA,NA,NA,68.05337,NA,NA,NA
